comment,date,downvotes,gender,location,search,upvotes,user,video,views,cleancomment,sex,sexuality,stem,lemma
I love this whore!  This explains why her cunt sometimes smells like shit,2019-07-02 19:55:44 UTC,23,"Male, Heterosexual",United States,POV,1176,https://xhamster.com/users/yourcornerguy,https://xhamster.com/videos/i-fuck-my-mom-in-ass-11928021,351615,I love this whore This explains why her cunt sometimes smells like shit,Male,Heterosexual,"['love', 'whore', 'explain', 'cunt', 'sometim', 'smell', 'like', 'shit']","['love', 'whore', 'explains', 'cunt', 'sometimes', 'smell', 'like', 'shit']"
"deux très, très jolies Salopes ... pour notre plus grand plaisir !",2019-11-27 09:50:27 UTC,4,"Male, Heterosexual",France,POV,820,https://xhamster.com/users/louisdeu,https://xhamster.com/videos/bratty-sis-truth-or-dick-s11-e2-12599479,236017,deux tr s tr s jolies Salopes pour notre plus grand plaisir ,Male,Heterosexual,"['deux', 'tr', 'tr', 'joli', 'salop', 'pour', 'notr', 'plu', 'grand', 'plaisir']","['deux', 'tr', 'tr', 'jolies', 'salopes', 'pour', 'notre', 'plus', 'grand', 'plaisir']"
cute girls,2019-11-07 18:36:52 UTC,4,"Male, Heterosexual",United States,POV,820,https://xhamster.com/users/coolguyva,https://xhamster.com/videos/bratty-sis-truth-or-dick-s11-e2-12599479,236017,cute girls,Male,Heterosexual,"['cute', 'girl']","['cute', 'girl']"
any names for these babes.....?pm me please,2019-10-20 08:18:40 UTC,4,"Male, Heterosexual",Ireland,POV,820,https://xhamster.com/users/bombolini66,https://xhamster.com/videos/bratty-sis-truth-or-dick-s11-e2-12599479,236017,any names for these babes pm me please,Male,Heterosexual,"['name', 'babe', 'pm', 'pleas']","['name', 'babe', 'pm', 'please']"
"Voted down by accident, damn!",2019-10-15 19:53:48 UTC,4,"Male and female couple, Heterosexual",United Kingdom,POV,820,https://xhamster.com/users/ropeman69,https://xhamster.com/videos/bratty-sis-truth-or-dick-s11-e2-12599479,236017,Voted down by accident damn ,Male and female couple,Heterosexual,"['vote', 'accid', 'damn']","['vote', 'accident', 'damn']"
Awesome,2019-10-12 14:18:24 UTC,4,"Male, Heterosexual",United States,POV,820,https://xhamster.com/users/wood4000,https://xhamster.com/videos/bratty-sis-truth-or-dick-s11-e2-12599479,236017,Awesome,Male,Heterosexual,['awesom'],['awesome']
Superbe ^^,2019-11-21 20:22:36 UTC,0,"Male, Heterosexual",Zimbabwe,POV,39,https://xhamster.com/users/darkness2006_tribute,https://xhamster.com/videos/dirty-latina-maid-blows-customer-12923698,17772,Superbe ,Male,Heterosexual,['superb'],['superbe']
Awesome,2019-11-21 15:28:10 UTC,0,"Male, Heterosexual",United States,POV,39,https://xhamster.com/users/wood4000,https://xhamster.com/videos/dirty-latina-maid-blows-customer-12923698,17772,Awesome,Male,Heterosexual,['awesom'],['awesome']
Was fürn geile Arsch die hat,2019-12-07 07:58:19 UTC,6,"Male, Heterosexual",Germany,POV,201,https://xhamster.com/users/marcreal,https://xhamster.com/videos/amateur-teen-bigcock-anal-12885955,81591,Was f rn geile Arsch die hat,Male,Heterosexual,"['f', 'rn', 'geil', 'arsch', 'die', 'hat']","['f', 'rn', 'geile', 'arsch', 'die', 'hat']"
mmm he's hot,2019-12-06 13:24:22 UTC,6,"Female, Heterosexual",United States,POV,201,https://xhamster.com/users/valerie01,https://xhamster.com/videos/amateur-teen-bigcock-anal-12885955,81591,mmm he s hot,Female,Heterosexual,"['mmm', 'hot']","['mmm', 'hot']"
"Hermoso culo pero, yo habría contenido, un poco mi calentura, hasta que con caricias y besitos de lengua, su coño/culo tomen temperatura para una buena cogida.",2019-11-24 18:48:18 UTC,6,"Male, Heterosexual",Argentina,POV,201,https://xhamster.com/users/granfred,https://xhamster.com/videos/amateur-teen-bigcock-anal-12885955,81591,Hermoso culo pero yo habr a contenido un poco mi calentura hasta que con caricias y besitos de lengua su co o culo tomen temperatura para una buena cogida ,Male,Heterosexual,"['hermoso', 'culo', 'pero', 'yo', 'habr', 'contenido', 'un', 'poco', 'mi', 'calentura', 'hasta', 'que', 'con', 'caricia', 'besito', 'de', 'lengua', 'su', 'co', 'culo', 'tomen', 'temperatura', 'para', 'una', 'buena', 'cogida']","['hermoso', 'culo', 'pero', 'yo', 'habr', 'contenido', 'un', 'poco', 'mi', 'calentura', 'hasta', 'que', 'con', 'caricias', 'besitos', 'de', 'lengua', 'su', 'co', 'culo', 'tomen', 'temperatura', 'para', 'una', 'buena', 'cogida']"
Nice butt,2019-11-17 19:10:18 UTC,6,"Male, Heterosexual",Spain,POV,201,https://xhamster.com/users/luissum,https://xhamster.com/videos/amateur-teen-bigcock-anal-12885955,81591,Nice butt,Male,Heterosexual,"['nice', 'butt']","['nice', 'butt']"
What a hot big cock,2019-11-17 15:08:02 UTC,6,"Female, Bisexual",Australia,POV,201,https://xhamster.com/users/kiwi1985,https://xhamster.com/videos/amateur-teen-bigcock-anal-12885955,81591,What a hot big cock,Female,Bisexual,"['hot', 'big', 'cock']","['hot', 'big', 'cock']"
une belle queue joliment entreprise par une charmante coquine. bravo pour cette belle exhibe,2019-11-25 11:14:03 UTC,1,"Male, Heterosexual",France,POV,25,https://xhamster.com/users/kiwinz27,https://xhamster.com/videos/on-the-road-a-la-plage-le-retour-de-sinanian-avec-erik-12164779,5977,une belle queue joliment entreprise par une charmante coquine bravo pour cette belle exhibe,Male,Heterosexual,"['une', 'bell', 'queue', 'joliment', 'entrepris', 'par', 'une', 'charmant', 'coquin', 'bravo', 'pour', 'cett', 'bell', 'exhib']","['une', 'belle', 'queue', 'joliment', 'entreprise', 'par', 'une', 'charmante', 'coquine', 'bravo', 'pour', 'cette', 'belle', 'exhibe']"
 ,2019-10-14 08:32:44 UTC,1,"Male and female couple, Heterosexual",France,POV,25,https://xhamster.com/users/nymphoparano,https://xhamster.com/videos/on-the-road-a-la-plage-le-retour-de-sinanian-avec-erik-12164779,5977, ,Male and female couple,Heterosexual,[],[]
Magnifique pipe,2019-09-14 08:45:48 UTC,1,"Male, Heterosexual",France,POV,25,https://xhamster.com/users/just4watching,https://xhamster.com/videos/on-the-road-a-la-plage-le-retour-de-sinanian-avec-erik-12164779,5977,Magnifique pipe,Male,Heterosexual,"['magnifiqu', 'pipe']","['magnifique', 'pipe']"
superbe !,2019-08-18 03:38:07 UTC,1,"Male and female couple, Heterosexual",Belgium,POV,25,https://xhamster.com/users/obendorf,https://xhamster.com/videos/on-the-road-a-la-plage-le-retour-de-sinanian-avec-erik-12164779,5977,superbe ,Male and female couple,Heterosexual,['superb'],['superbe']
I like you,2019-11-21 07:02:51 UTC,5,"Male, Not sure",Mexico,POV,58,https://xhamster.com/users/sanjoo899xx,https://xhamster.com/videos/arab-lady-pussy-12887049,25909,I like you,Male,Not sure,['like'],['like']
Beautiful!,2019-11-21 00:59:03 UTC,5,"Male, Bisexual",United States,POV,58,https://xhamster.com/users/kaufka,https://xhamster.com/videos/arab-lady-pussy-12887049,25909,Beautiful ,Male,Bisexual,['beauti'],['beautiful']
Hot,2019-11-18 18:46:44 UTC,5,"Male, Heterosexual",,POV,58,https://xhamster.com/users/citizen_of_hamster,https://xhamster.com/videos/arab-lady-pussy-12887049,25909,Hot,Male,Heterosexual,['hot'],['hot']
wow i want lick her hot asshole eat her hot pussy bite her hot pussy lips and clit make her cum in my mouth drink all her hot cum,2019-11-18 02:25:28 UTC,5,"Male, Heterosexual",Egypt,POV,58,https://xhamster.com/users/hot_fucker2486,https://xhamster.com/videos/arab-lady-pussy-12887049,25909,wow i want lick her hot asshole eat her hot pussy bite her hot pussy lips and clit make her cum in my mouth drink all her hot cum,Male,Heterosexual,"['wow', 'want', 'lick', 'hot', 'asshol', 'eat', 'hot', 'pussi', 'bite', 'hot', 'pussi', 'lip', 'clit', 'make', 'cum', 'mouth', 'drink', 'hot', 'cum']","['wow', 'want', 'lick', 'hot', 'asshole', 'eat', 'hot', 'pussy', 'bite', 'hot', 'pussy', 'lip', 'clit', 'make', 'cum', 'mouth', 'drink', 'hot', 'cum']"
هشام من القاهرة ابيض وسيم بزبر احمر وطخين لمتعتك فى سريه تامه مهما كانت رغباتك عيونى ليكى النيك في الطيز قبل الزواج امان لكل البنات وعن خبره مسبقه,2019-11-18 01:36:46 UTC,5,"Male, Heterosexual",Egypt,POV,58,https://xhamster.com/users/hishamxox,https://xhamster.com/videos/arab-lady-pussy-12887049,25909, ,Male,Heterosexual,[],[]
very nice pussy...,2019-11-17 20:12:58 UTC,5,"Male and female couple, Heterosexual",Germany,POV,58,https://xhamster.com/users/lovemybbwwife,https://xhamster.com/videos/arab-lady-pussy-12887049,25909,very nice pussy ,Male and female couple,Heterosexual,"['nice', 'pussi']","['nice', 'pussy']"
"Would have been better if Penny had wanked him off in to Hayleys mouth at the end. Bit of a missed opportunity this one, both ladies are super sexy but it wasn't really there for me.",2019-11-18 21:36:19 UTC,8,"Male, Heterosexual",United Kingdom,POV,533,https://xhamster.com/users/fullyfitted,https://xhamster.com/videos/mts-big-dick-trick-or-treat-for-step-mom-and-step-sis-12694628,153990,Would have been better if Penny had wanked him off in to Hayleys mouth at the end Bit of a missed opportunity this one both ladies are super sexy but it wasn t really there for me ,Male,Heterosexual,"['would', 'better', 'penni', 'wank', 'hayley', 'mouth', 'end', 'bit', 'miss', 'opportun', 'one', 'ladi', 'super', 'sexi', 'realli']","['would', 'well', 'penny', 'wank', 'hayleys', 'mouth', 'end', 'bit', 'miss', 'opportunity', 'one', 'lady', 'super', 'sexy', 'really']"
They are all soooo dumbbbbb-and ugly. I haven't cringed that much in a long time,2019-11-10 14:45:39 UTC,8,"Male, Heterosexual",Egypt,POV,533,https://xhamster.com/users/kinkydomhung,https://xhamster.com/videos/mts-big-dick-trick-or-treat-for-step-mom-and-step-sis-12694628,153990,They are all soooo dumbbbbb and ugly I haven t cringed that much in a long time,Male,Heterosexual,"['soooo', 'dumbbbbb', 'ugli', 'cring', 'much', 'long', 'time']","['soooo', 'dumbbbbb', 'ugly', 'cringed', 'much', 'long', 'time']"
Damn that mom is hot i would breed her hourly and impregnate her up.,2019-10-31 16:06:10 UTC,8,"Male, Heterosexual",United Kingdom,POV,533,https://xhamster.com/users/derpbuddyuk,https://xhamster.com/videos/mts-big-dick-trick-or-treat-for-step-mom-and-step-sis-12694628,153990,Damn that mom is hot i would breed her hourly and impregnate her up ,Male,Heterosexual,"['damn', 'mom', 'hot', 'would', 'breed', 'hourli', 'impregn']","['damn', 'mom', 'hot', 'would', 'breed', 'hourly', 'impregnate']"
need tot ry this,2019-10-29 20:17:45 UTC,8,"Male, Heterosexual",Germany,POV,533,https://xhamster.com/users/t0xicvis,https://xhamster.com/videos/mts-big-dick-trick-or-treat-for-step-mom-and-step-sis-12694628,153990,need tot ry this,Male,Heterosexual,"['need', 'tot', 'ry']","['need', 'tot', 'ry']"
Damn that was hot,2019-10-28 12:42:44 UTC,8,"Male, Heterosexual",United States,POV,533,https://xhamster.com/users/8ingreek,https://xhamster.com/videos/mts-big-dick-trick-or-treat-for-step-mom-and-step-sis-12694628,153990,Damn that was hot,Male,Heterosexual,"['damn', 'hot']","['damn', 'hot']"
I would fuck penny pax until the neighbours complained about the smell,2019-10-26 12:13:32 UTC,8,"Male, Heterosexual",,POV,533,https://xhamster.com/users/ccg1888,https://xhamster.com/videos/mts-big-dick-trick-or-treat-for-step-mom-and-step-sis-12694628,153990,I would fuck penny pax until the neighbours complained about the smell,Male,Heterosexual,"['would', 'fuck', 'penni', 'pax', 'neighbour', 'complain', 'smell']","['would', 'fuck', 'penny', 'pax', 'neighbour', 'complain', 'smell']"
She looks like that whore Amber Heard,2019-10-24 21:09:56 UTC,8,"Transgender MtF, Heteroflexible",United States,POV,533,https://xhamster.com/users/destructcumshots,https://xhamster.com/videos/mts-big-dick-trick-or-treat-for-step-mom-and-step-sis-12694628,153990,She looks like that whore Amber Heard,Transgender MtF,Heteroflexible,"['look', 'like', 'whore', 'amber', 'heard']","['look', 'like', 'whore', 'amber', 'heard']"
Awesome,2019-10-24 14:11:46 UTC,8,"Male, Heterosexual",United States,POV,533,https://xhamster.com/users/wood4000,https://xhamster.com/videos/mts-big-dick-trick-or-treat-for-step-mom-and-step-sis-12694628,153990,Awesome,Male,Heterosexual,['awesom'],['awesome']
Bitch is hot as fuck ,2019-12-15 20:33:33 UTC,31,"Male, Bisexual",United States,POV,2265,https://xhamster.com/users/tapper11,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Bitch is hot as fuck ,Male,Bisexual,"['bitch', 'hot', 'fuck']","['bitch', 'hot', 'fuck']"
I came.3 fucking times to this video!,2019-11-24 22:03:36 UTC,31,"Male, Heterosexual",United States,POV,2265,https://xhamster.com/users/inexperience,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,I came fucking times to this video ,Male,Heterosexual,"['came', 'fuck', 'time', 'video']","['come', 'fuck', 'time', 'video']"
"Yes please, with a pleasure!!!",2019-11-01 13:54:27 UTC,31,"Male, Heterosexual",Bulgaria,POV,2265,https://xhamster.com/users/vendoll,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Yes please with a pleasure ,Male,Heterosexual,"['ye', 'pleas', 'pleasur']","['yes', 'please', 'pleasure']"
Wow...!!!,2019-10-24 02:01:35 UTC,31,"Male, Bisexual",United States,POV,2265,https://xhamster.com/users/oscarscarrier,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Wow ,Male,Bisexual,['wow'],['wow']
Exotic panda is her name! Love to smothered by that huge ass,2019-10-23 14:17:03 UTC,31,"Male, Asexual",United States,POV,2265,https://xhamster.com/users/jhemp430,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Exotic panda is her name Love to smothered by that huge ass,Male,Asexual,"['exot', 'panda', 'name', 'love', 'smother', 'huge', 'ass']","['exotic', 'panda', 'name', 'love', 'smother', 'huge', 'as']"
Black is not slimming it's sexy but you know what's sexier letting me pull that off of you and every man will agree I love to take that off of you slow,2019-10-22 23:39:28 UTC,31,"Male, Heterosexual",United States,POV,2265,https://xhamster.com/users/14anytimejo,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Black is not slimming it s sexy but you know what s sexier letting me pull that off of you and every man will agree I love to take that off of you slow,Male,Heterosexual,"['black', 'slim', 'sexi', 'know', 'sexier', 'let', 'pull', 'everi', 'man', 'agre', 'love', 'take', 'slow']","['black', 'slimming', 'sexy', 'know', 'sexier', 'let', 'pull', 'every', 'man', 'agree', 'love', 'take', 'slow']"
what a delicious fuckable mom.,2019-10-22 23:12:21 UTC,31,"Male, Bisexual",,POV,2265,https://xhamster.com/users/cumslaveboy6,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,what a delicious fuckable mom ,Male,Bisexual,"['delici', 'fuckabl', 'mom']","['delicious', 'fuckable', 'mom']"
Her name is RIGHT THERE in the bottom right you fucking idiots lol,2019-10-22 16:25:27 UTC,31,"Male, Heterosexual",United States,POV,2265,https://xhamster.com/users/hoesloveflaxseed,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Her name is RIGHT THERE in the bottom right you fucking idiots lol,Male,Heterosexual,"['name', 'right', 'bottom', 'right', 'fuck', 'idiot', 'lol']","['name', 'right', 'bottom', 'right', 'fuck', 'idiot', 'lol']"
"She can fart on my pizza before I eat it,",2019-10-22 12:41:10 UTC,31,"Male, Heterosexual",United States,POV,2265,https://xhamster.com/users/babette58,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,She can fart on my pizza before I eat it ,Male,Heterosexual,"['fart', 'pizza', 'eat']","['fart', 'pizza', 'eat']"
Pm please,2019-10-22 04:45:06 UTC,31,"Male, Heterosexual",United States,POV,2265,https://xhamster.com/users/jjedwards,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Pm please,Male,Heterosexual,"['pm', 'pleas']","['pm', 'please']"
"Great body, love the way she moves!",2019-10-21 23:08:45 UTC,31,"Male, Heterosexual",Germany,POV,2265,https://xhamster.com/users/matcauthon368,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Great body love the way she moves ,Male,Heterosexual,"['great', 'bodi', 'love', 'way', 'move']","['great', 'body', 'love', 'way', 'move']"
Holy fuck she is sexy. WTF is her name? I need it for research purposes.,2019-10-21 14:40:54 UTC,31,"Male, Heterosexual",United States,POV,2265,https://xhamster.com/users/twistedachilles,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Holy fuck she is sexy WTF is her name I need it for research purposes ,Male,Heterosexual,"['holi', 'fuck', 'sexi', 'wtf', 'name', 'need', 'research', 'purpos']","['holy', 'fuck', 'sexy', 'wtf', 'name', 'need', 'research', 'purpose']"
pm the name plz guys! comon!,2019-10-21 10:39:20 UTC,31,"Male, Heterosexual",Togo,POV,2265,https://xhamster.com/users/darkporn07,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,pm the name plz guys comon ,Male,Heterosexual,"['pm', 'name', 'plz', 'guy', 'comon']","['pm', 'name', 'plz', 'guy', 'comon']"
She really wanted to get fucked lover her curves and big ass bouncing,2019-10-20 16:11:20 UTC,31,"Female, Heterosexual",United States,POV,2265,https://xhamster.com/users/dulce1961,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,She really wanted to get fucked lover her curves and big ass bouncing,Female,Heterosexual,"['realli', 'want', 'get', 'fuck', 'lover', 'curv', 'big', 'ass', 'bounc']","['really', 'want', 'get', 'fuck', 'lover', 'curve', 'big', 'as', 'bounce']"
Please PM me her name.,2019-10-20 14:15:24 UTC,31,"Male, Heterosexual",United States,POV,2265,https://xhamster.com/users/samiam69,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Please PM me her name ,Male,Heterosexual,"['pleas', 'pm', 'name']","['please', 'pm', 'name']"
Please PM me her name... PLEASE!!!,2019-10-20 13:09:28 UTC,31,"Male, Heterosexual",Canada,POV,2265,https://xhamster.com/users/mksmith,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Please PM me her name PLEASE ,Male,Heterosexual,"['pleas', 'pm', 'name', 'pleas']","['please', 'pm', 'name', 'please']"
awesome thick ass,2019-10-19 23:23:17 UTC,31,"Male and female couple, Heterosexual",United Kingdom,POV,2265,https://xhamster.com/users/tobydog69,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,awesome thick ass,Male and female couple,Heterosexual,"['awesom', 'thick', 'ass']","['awesome', 'thick', 'as']"
I want to eat that fat ass,2019-10-19 20:32:23 UTC,31,"Male, Heterosexual",United States,POV,2265,https://xhamster.com/users/jacknit2009,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,I want to eat that fat ass,Male,Heterosexual,"['want', 'eat', 'fat', 'ass']","['want', 'eat', 'fat', 'as']"
I'd lick her butthole.,2019-10-18 20:03:31 UTC,31,"Male, Heterosexual",United States,POV,2265,https://xhamster.com/users/lovegun80,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,I d lick her butthole ,Male,Heterosexual,"['lick', 'butthol']","['lick', 'butthole']"
She’s perfect ,2019-10-18 19:04:02 UTC,31,"Male, Heterosexual",United States,POV,2265,https://xhamster.com/users/jerseyboy35,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,She s perfect ,Male,Heterosexual,['perfect'],['perfect']
Hot stuff!,2019-10-18 12:59:31 UTC,31,"Male, Heterosexual",France,POV,2265,https://xhamster.com/users/lustforinterracial1,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Hot stuff ,Male,Heterosexual,"['hot', 'stuff']","['hot', 'stuff']"
"God... Who is she?
Plz",2019-10-17 04:58:21 UTC,31,"Male, Heterosexual",Jordan,POV,2265,https://xhamster.com/users/bbwlover1982busty,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,God Who is she Plz,Male,Heterosexual,"['god', 'plz']","['god', 'plz']"
Sexy ass,2019-10-16 21:19:22 UTC,31,"Male, Heterosexual",Netherlands,POV,2265,https://xhamster.com/users/dokk85,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Sexy ass,Male,Heterosexual,"['sexi', 'ass']","['sexy', 'as']"
Goregous,2019-10-16 21:01:38 UTC,31,"Male, Heterosexual",United States,POV,2265,https://xhamster.com/users/jimbrown_jimbrown,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Goregous,Male,Heterosexual,['goreg'],['goregous']
She is amazing,2019-10-16 20:25:57 UTC,31,"Male, Heterosexual",,POV,2265,https://xhamster.com/users/alex81love,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,She is amazing,Male,Heterosexual,['amaz'],['amaze']
Love her sexy mom body ! Nice juicy ass!!,2019-10-16 18:26:36 UTC,31,"Male, Heterosexual",United States,POV,2265,https://xhamster.com/users/cutemachocub,https://xhamster.com/videos/friends-hot-mom-12622757,1021978,Love her sexy mom body Nice juicy ass ,Male,Heterosexual,"['love', 'sexi', 'mom', 'bodi', 'nice', 'juici', 'ass']","['love', 'sexy', 'mom', 'body', 'nice', 'juicy', 'as']"
Looks real@,2019-11-15 14:23:57 UTC,5,"Male, Heterosexual",United States,Hidden_Cam,238,https://xhamster.com/users/johhey,https://xhamster.com/videos/stripper-girl-fucked-filmed-in-strip-club-with-hidden-cam-9743714,277797,Looks real ,Male,Heterosexual,"['look', 'real']","['look', 'real']"
nice,2019-05-04 22:43:38 UTC,5,"Male, Heterosexual",United States,Hidden_Cam,238,https://xhamster.com/users/swallow1972,https://xhamster.com/videos/stripper-girl-fucked-filmed-in-strip-club-with-hidden-cam-9743714,277797,nice,Male,Heterosexual,['nice'],['nice']
"SHE is perfect. The HOTTEST, Sexiest, horniest lil Stripper that I WANT!. She is a Money-making whore, that is for sure.",2019-03-20 21:18:46 UTC,5,"Male, Heterosexual",United States,Hidden_Cam,238,https://xhamster.com/users/ourpleasures4u2,https://xhamster.com/videos/stripper-girl-fucked-filmed-in-strip-club-with-hidden-cam-9743714,277797,SHE is perfect The HOTTEST Sexiest horniest lil Stripper that I WANT She is a Money making whore that is for sure ,Male,Heterosexual,"['perfect', 'hottest', 'sexiest', 'horniest', 'lil', 'stripper', 'want', 'money', 'make', 'whore', 'sure']","['perfect', 'hottest', 'sexiest', 'horniest', 'lil', 'stripper', 'want', 'money', 'make', 'whore', 'sure']"
i can't stop watching this... so hot. The way he teases it thru her panties then when she goes to grab it...gets me everytime.,2018-12-30 22:16:43 UTC,5,"Male, Heterosexual",United States,Hidden_Cam,238,https://xhamster.com/users/mdb9555,https://xhamster.com/videos/stripper-girl-fucked-filmed-in-strip-club-with-hidden-cam-9743714,277797,i can t stop watching this so hot The way he teases it thru her panties then when she goes to grab it gets me everytime ,Male,Heterosexual,"['stop', 'watch', 'hot', 'way', 'teas', 'thru', 'panti', 'goe', 'grab', 'get', 'everytim']","['stop', 'watch', 'hot', 'way', 'tease', 'thru', 'panty', 'go', 'grab', 'get', 'everytime']"
Hot,2018-10-24 20:22:17 UTC,5,"Transgender MtF, Heterosexual",United Kingdom,Hidden_Cam,238,https://xhamster.com/users/wild24,https://xhamster.com/videos/stripper-girl-fucked-filmed-in-strip-club-with-hidden-cam-9743714,277797,Hot,Transgender MtF,Heterosexual,['hot'],['hot']
where is this club? so hot...pp,2018-07-09 06:45:46 UTC,5,"Male and female couple, Heterosexual",Asia/Pacific Region,Hidden_Cam,238,https://xhamster.com/users/peterpan2501,https://xhamster.com/videos/stripper-girl-fucked-filmed-in-strip-club-with-hidden-cam-9743714,277797,where is this club so hot pp,Male and female couple,Heterosexual,"['club', 'hot', 'pp']","['club', 'hot', 'pp']"
"Yea, it's fake.  I guarantee if it was a real strip club you'd recognize the music...",2018-07-07 22:31:40 UTC,5,"Male, Heterosexual",United States,Hidden_Cam,238,https://xhamster.com/users/frigid96,https://xhamster.com/videos/stripper-girl-fucked-filmed-in-strip-club-with-hidden-cam-9743714,277797,Yea it s fake I guarantee if it was a real strip club you d recognize the music ,Male,Heterosexual,"['yea', 'fake', 'guarante', 'real', 'strip', 'club', 'recogn', 'music']","['yea', 'fake', 'guarantee', 'real', 'strip', 'club', 'recognize', 'music']"
Fuck she is hot and bet she got a creampie!! Tfs,2018-07-05 11:35:48 UTC,5,"Male, Heterosexual",United Kingdom,Hidden_Cam,238,https://xhamster.com/users/profshooter,https://xhamster.com/videos/stripper-girl-fucked-filmed-in-strip-club-with-hidden-cam-9743714,277797,Fuck she is hot and bet she got a creampie Tfs,Male,Heterosexual,"['fuck', 'hot', 'bet', 'got', 'creampi', 'tf']","['fuck', 'hot', 'bet', 'get', 'creampie', 'tfs']"
"Unprotected? Well, it's that guy's funeral.",2018-07-04 16:12:16 UTC,5,"Male, Heterosexual",United Kingdom,Hidden_Cam,238,https://xhamster.com/users/rodent1,https://xhamster.com/videos/stripper-girl-fucked-filmed-in-strip-club-with-hidden-cam-9743714,277797,Unprotected Well it s that guy s funeral ,Male,Heterosexual,"['unprotect', 'well', 'guy', 'funer']","['unprotected', 'well', 'guy', 'funeral']"
The Money-Maker,2018-07-01 01:12:27 UTC,5,"Male, Heterosexual",United States,Hidden_Cam,238,https://xhamster.com/users/ourpleasures4u2,https://xhamster.com/videos/stripper-girl-fucked-filmed-in-strip-club-with-hidden-cam-9743714,277797,The Money Maker,Male,Heterosexual,"['money', 'maker']","['money', 'maker']"
Awesome,2018-06-29 19:16:04 UTC,5,"Male, Heterosexual",United States,Hidden_Cam,238,https://xhamster.com/users/jgonzales0414,https://xhamster.com/videos/stripper-girl-fucked-filmed-in-strip-club-with-hidden-cam-9743714,277797,Awesome,Male,Heterosexual,['awesom'],['awesome']
Wow,2019-06-27 17:39:41 UTC,11,"Male, Heterosexual",United States,Hidden_Cam,1362,https://xhamster.com/users/mywhiteteens,https://xhamster.com/videos/estrangeiro-hidden-cam-couple-big-ass-against-the-rocks-10153861,778042,Wow,Male,Heterosexual,['wow'],['wow']
poor dog really wanted some action,2019-05-17 19:35:25 UTC,11,"Male, Heterosexual",United Kingdom,Hidden_Cam,1362,https://xhamster.com/users/pete1233333,https://xhamster.com/videos/estrangeiro-hidden-cam-couple-big-ass-against-the-rocks-10153861,778042,poor dog really wanted some action,Male,Heterosexual,"['poor', 'dog', 'realli', 'want', 'action']","['poor', 'dog', 'really', 'want', 'action']"
Hot anymore?,2019-05-02 23:56:31 UTC,11,"Male, Heterosexual",United States,Hidden_Cam,1362,https://xhamster.com/users/kasake619,https://xhamster.com/videos/estrangeiro-hidden-cam-couple-big-ass-against-the-rocks-10153861,778042,Hot anymore ,Male,Heterosexual,"['hot', 'anymor']","['hot', 'anymore']"
Big beautiful ass.,2019-03-02 05:26:01 UTC,11,"Female, Bisexual",United States,Hidden_Cam,1362,https://xhamster.com/users/josephinepattison32,https://xhamster.com/videos/estrangeiro-hidden-cam-couple-big-ass-against-the-rocks-10153861,778042,Big beautiful ass ,Female,Bisexual,"['big', 'beauti', 'ass']","['big', 'beautiful', 'as']"
Ill do her anywhere she is horny,2019-03-01 08:56:43 UTC,11,"Male, Heterosexual",Netherlands,Hidden_Cam,1362,https://xhamster.com/users/24ugeil,https://xhamster.com/videos/estrangeiro-hidden-cam-couple-big-ass-against-the-rocks-10153861,778042,Ill do her anywhere she is horny,Male,Heterosexual,"['ill', 'anywher', 'horni']","['ill', 'anywhere', 'horny']"
